sat_name,physical_channel,proxy_nickname,proxy_receive_time,server_receive_time,raw_data
DSLWP-B,13,YL3CT,2018-08-19 01:10:00.000,2018-08-19 03:54:38.771,BJ1SNJ86B0OA9
DSLWP-B,13,YL3CT,2018-08-19 01:20:00.000,2018-08-19 03:55:01.676,BJ1SNJ86B0OAJ
DSLWP-B,13,YL3CT,2018-08-19 01:50:00.000,2018-08-19 03:56:05.298,BJ1SNJ86D0PAJ
DSLWP-B,13,YL3CT,2018-08-19 00:30:00.000,2018-08-19 03:52:56.679,BJ1SNJ86B0OAT
DSLWP-B,13,YL3CT,2018-08-19 00:50:00.000,2018-08-19 03:53:45.851,BJ1SNJ8680OAJ
DSLWP-B,13,YL3CT,2018-08-19 01:00:00.000,2018-08-19 03:54:19.379,BJ1SNJ86C0OAT
DSLWP-B,13,YL3CT,2018-08-19 01:30:00.000,2018-08-19 03:55:22.971,BJ1SNJ86A0PAT
DSLWP-B,13,YL3CT,2018-08-19 01:40:00.000,2018-08-19 03:55:43.828,BJ1SNJ86C0PA9
DSLWP-B,13,OZ1BXM,2018-08-19 02:50:00.000,2018-08-19 05:38:43.218,BJ1SNJ8680OAJ
DSLWP-B,13,OZ1BXM,2018-08-19 01:00:00.000,2018-08-19 05:41:34.412,BJ1SNJ86C0OAT
DSLWP-B,13,OZ1BXM,2018-08-19 01:10:00.000,2018-08-19 05:42:23.419,BJ1SNJ86B0OA9
